input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,49627,7,5.216515839683687,52,34,0.1,32707,12,1.5173204512795426
520,341,54931,9,5.533405806288786,104,68,0.2,38438,14,1.4290805973255631
520,341,63771,12,5.864089294965753,156,102,0.30000000000000004,47256,17,1.3494794311833418
520,341,76147,14,6.1060600847376865,208,136,0.4,58722,22,1.2967371683525766
520,341,92059,19,6.27246239296733,260,170,0.5,72753,28,1.2653636276167306
520,341,111507,23,6.388595707037356,312,204,0.6000000000000001,89716,35,1.2428886709171163
520,341,134491,28,6.463467416587123,364,238,0.7000000000000001,109474,44,1.2285200138845753
520,341,161011,35,6.506348556793883,416,272,0.8,131924,53,1.2204830053667264
520,341,191067,41,6.530519281827371,468,306,0.9,157081,62,1.2163597125050134
520,341,225179,47,6.5122732983052325,520,341,1.0,184553,73,1.2201318862332229
