input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
520,341,225179,46,6.5122732983052325,520,341,1,184553,70,1.2201318862332229
520,341,757139,170,6.4999073221852814,1040,682,2,618546,259,1.2240625596156147
520,341,1643739,374,6.460214025387321,1560,1023,3,1333514,517,1.2326372276556528
520,341,2884979,668,6.448797154569084,2080,1364,4,2336180,934,1.2349129775959045
520,341,4480859,1026,6.435136147860306,2600,1705,5,3620216,1408,1.23773249993923
